date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:07:36	62316/62316	---M--	200	added ('OK')	font/woff	etag:%2256b74f08-f36c%22	http://demo.deviserweb.com/cv/assets/font/roboto/Roboto-Light.woff	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/font/roboto/Roboto-Light.woff	(from http://demo.deviserweb.com/cv/assets/css/materialize.min.css)
18:07:43	61736/61736	---M--	200	added ('OK')	font/woff	etag:%2256b74f14-f128%22	http://demo.deviserweb.com/cv/assets/font/roboto/Roboto-Regular.woff	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/font/roboto/Roboto-Regular.woff	(from http://demo.deviserweb.com/cv/assets/css/materialize.min.css)
18:07:44	50224/50224	---M--	200	added ('OK')	text/html	etag:%22c430-52b2e92352640%22	http://demo.deviserweb.com/cv/assets/font/roboto/Roboto-Medium.woff2	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/font/roboto/Roboto-Medium.html	(from http://demo.deviserweb.com/cv/assets/css/materialize.min.css)
18:07:47	127584/127584	---M--	200	added ('OK')	application/octet-stream	etag:%2256b74f18-1f260%22	http://demo.deviserweb.com/cv/assets/font/roboto/Roboto-Thin.ttf	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/font/roboto/Roboto-Thin.ttf	(from http://demo.deviserweb.com/cv/assets/css/materialize.min.css)
18:07:48	126792/126792	---M--	200	added ('OK')	application/octet-stream	etag:%2256b74f06-1ef48%22	http://demo.deviserweb.com/cv/assets/font/roboto/Roboto-Light.ttf	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/font/roboto/Roboto-Light.ttf	(from http://demo.deviserweb.com/cv/assets/css/materialize.min.css)
18:07:49	49976/49976	---M--	200	added ('OK')	text/html	etag:%22c338-52b2e915f86c0%22	http://demo.deviserweb.com/cv/assets/font/roboto/Roboto-Bold.woff2	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/font/roboto/Roboto-Bold.html	(from http://demo.deviserweb.com/cv/assets/css/materialize.min.css)
18:07:56	62980/62980	---M--	200	added ('OK')	font/woff	etag:%2256b74f0e-f604%22	http://demo.deviserweb.com/cv/assets/font/roboto/Roboto-Medium.woff	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/font/roboto/Roboto-Medium.woff	(from http://demo.deviserweb.com/cv/assets/css/materialize.min.css)
18:07:58	126072/126072	---M--	200	added ('OK')	application/octet-stream	etag:%2256b74f12-1ec78%22	http://demo.deviserweb.com/cv/assets/font/roboto/Roboto-Regular.ttf	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/font/roboto/Roboto-Regular.ttf	(from http://demo.deviserweb.com/cv/assets/css/materialize.min.css)
18:08:00	62876/62876	---M--	200	added ('OK')	font/woff	etag:%2256b74f00-f59c%22	http://demo.deviserweb.com/cv/assets/font/roboto/Roboto-Bold.woff	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/font/roboto/Roboto-Bold.woff	(from http://demo.deviserweb.com/cv/assets/css/materialize.min.css)
18:08:08	127488/127488	---M--	200	added ('OK')	application/octet-stream	etag:%2256b74f0c-1f200%22	http://demo.deviserweb.com/cv/assets/font/roboto/Roboto-Medium.ttf	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/font/roboto/Roboto-Medium.ttf	(from http://demo.deviserweb.com/cv/assets/css/materialize.min.css)
18:08:10	72449/72449	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2256b74f2f-11b01%22	http://demo.deviserweb.com/cv/assets/icons/font-awesome-4.1.0/fonts/fontawesome-webfont862f.eot?v=4.1.0	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/icons/font-awesome-4.1.0/fonts/fontawesome-webfont862f862f.eot	(from http://demo.deviserweb.com/cv/assets/icons/font-awesome-4.1.0/css/font-awesome.min.css)
18:08:15	72449/72449	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2256b74f39-11b01%22	http://demo.deviserweb.com/cv/assets/icons/font-awesome-4.1.0/fonts/fontawesome-webfontd41d.eot?	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/icons/font-awesome-4.1.0/fonts/fontawesome-webfontd41dd41d.eot	(from http://demo.deviserweb.com/cv/assets/icons/font-awesome-4.1.0/css/font-awesome.min.css)
18:08:15	141537/141537	---MCZ	200	added ('OK')	text/html	etag:W/%2256b74f31-228e1%22	http://demo.deviserweb.com/cv/assets/icons/font-awesome-4.1.0/fonts/fontawesome-webfont862f.html?v=4.1.0	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/icons/font-awesome-4.1.0/fonts/fontawesome-webfont862f862f.html	(from http://demo.deviserweb.com/cv/assets/icons/font-awesome-4.1.0/css/font-awesome.min.css)
18:08:17	253487/253487	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2256b74f34-3de2f%22	http://demo.deviserweb.com/cv/assets/icons/font-awesome-4.1.0/fonts/fontawesome-webfont862f.svg?v=4.1.0	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/icons/font-awesome-4.1.0/fonts/fontawesome-webfont862f862f.svg	(from http://demo.deviserweb.com/cv/assets/icons/font-awesome-4.1.0/css/font-awesome.min.css)
18:08:18	10460/10460	---M--	200	added ('OK')	image/gif	etag:%2256b74ec2-28dc%22	http://demo.deviserweb.com/cv/assets/images/loading.gif	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/images/loading.gif	(from http://demo.deviserweb.com/cv/assets/css/style.css)
18:08:18	2439/2439	---MCZ	200	added ('OK')	text/css	etag:W/%2256b74e88-987%22	http://demo.deviserweb.com/cv/assets/css/nav.css	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/css/nav.css	(from http://demo.deviserweb.com/cv/project.html)
18:08:19	23111/23111	---MCZ	200	added ('OK')	text/html	etag:W/%2256b74e79-5a47%22	http://demo.deviserweb.com/cv/portfolio-full.html	E:/Web/CV%20VANh/demo.deviserweb.com/cv/portfolio-full.html	(from http://demo.deviserweb.com/cv/project.html)
18:08:20	127744/127744	---M--	200	added ('OK')	application/octet-stream	etag:%2256b74f01-1f300%22	http://demo.deviserweb.com/cv/assets/font/roboto/Roboto-Bold.ttf	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/font/roboto/Roboto-Bold.ttf	(from http://demo.deviserweb.com/cv/assets/css/materialize.min.css)
18:08:22	22089/22089	---M--	200	added ('OK')	image/jpeg	etag:%2256b74ecf-5649%22	http://demo.deviserweb.com/cv/assets/images/p.jpg	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/images/p.jpg	(from http://demo.deviserweb.com/cv/project.html)
18:08:22	13367/13367	---M--	200	added ('OK')	image/jpeg	etag:%2256b74ec5-3437%22	http://demo.deviserweb.com/cv/assets/images/p-2.jpg	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/images/p-2.jpg	(from http://demo.deviserweb.com/cv/project.html)
18:08:23	25322/25322	---M--	200	added ('OK')	image/jpeg	etag:%2256b74ec5-62ea%22	http://demo.deviserweb.com/cv/assets/images/p-1.jpg	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/images/p-1.jpg	(from http://demo.deviserweb.com/cv/project.html)
18:08:25	83760/83760	---M--	200	added ('OK')	font/woff	etag:%2256b74f35-14730%22	http://demo.deviserweb.com/cv/assets/icons/font-awesome-4.1.0/fonts/fontawesome-webfont862f.woff?v=4.1.0	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/icons/font-awesome-4.1.0/fonts/fontawesome-webfont862f862f.woff	(from http://demo.deviserweb.com/cv/assets/icons/font-awesome-4.1.0/css/font-awesome.min.css)
18:08:26	20568/20568	---M--	200	added ('OK')	image/jpeg	etag:%2256b74ecc-5058%22	http://demo.deviserweb.com/cv/assets/images/p-6.jpg	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/images/p-6.jpg	(from http://demo.deviserweb.com/cv/project.html)
18:08:27	24912/24912	---M--	200	added ('OK')	image/jpeg	etag:%2256b74ec8-6150%22	http://demo.deviserweb.com/cv/assets/images/p-5.jpg	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/images/p-5.jpg	(from http://demo.deviserweb.com/cv/project.html)
18:08:28	18134/18134	---M--	200	added ('OK')	image/jpeg	etag:%2256b74ecc-46d6%22	http://demo.deviserweb.com/cv/assets/images/p-7.jpg	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/images/p-7.jpg	(from http://demo.deviserweb.com/cv/project.html)
18:08:28	35905/35905	---M--	200	added ('OK')	image/jpeg	etag:%2256b74ec8-8c41%22	http://demo.deviserweb.com/cv/assets/images/p-3.jpg	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/images/p-3.jpg	(from http://demo.deviserweb.com/cv/project.html)
18:08:28	28932/28932	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256b74edc-7104%22	http://demo.deviserweb.com/cv/assets/js/jquery.mixitup.min.js	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/js/jquery.mixitup.min.js	(from http://demo.deviserweb.com/cv/project.html)
18:08:28	4052/4052	---M--	200	added ('OK')	image/png	etag:%2256b74ed4-fd4%22	http://demo.deviserweb.com/cv/assets/images/sig.png	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/images/sig.png	(from http://demo.deviserweb.com/cv/cover-latter.html)
18:08:28	22814/22814	---MCZ	200	added ('OK')	text/html	etag:W/%2256b74e6e-591e%22	http://demo.deviserweb.com/cv/blog-full-post.html	E:/Web/CV%20VANh/demo.deviserweb.com/cv/blog-full-post.html	(from http://demo.deviserweb.com/cv/blog.html)
18:08:29	21756/21756	---M--	200	added ('OK')	image/jpeg	etag:%2256b74ecf-54fc%22	http://demo.deviserweb.com/cv/assets/images/p-8.jpg	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/images/p-8.jpg	(from http://demo.deviserweb.com/cv/project.html)
18:08:34	36824/36824	---M--	200	added ('OK')	image/jpeg	etag:%2256b74eb8-8fd8%22	http://demo.deviserweb.com/cv/assets/images/blog1.jpg	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/images/blog1.jpg	(from http://demo.deviserweb.com/cv/blog.html)
18:08:35	38130/38130	---M--	200	added ('OK')	image/jpeg	etag:%2256b74ebb-94f2%22	http://demo.deviserweb.com/cv/assets/images/blog2.jpg	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/images/blog2.jpg	(from http://demo.deviserweb.com/cv/blog.html)
18:08:36	47179/47179	---M--	200	added ('OK')	image/jpeg	etag:%2256b74ebe-b84b%22	http://demo.deviserweb.com/cv/assets/images/blog4.jpg	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/images/blog4.jpg	(from http://demo.deviserweb.com/cv/blog.html)
18:08:38	54273/54273	---M--	200	added ('OK')	image/jpeg	etag:%2256b74ebf-d401%22	http://demo.deviserweb.com/cv/assets/images/blog5.jpg	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/images/blog5.jpg	(from http://demo.deviserweb.com/cv/blog.html)
18:08:39	4473/4473	---M--	200	added ('OK')	image/jpeg	etag:%2256b74ed1-1179%22	http://demo.deviserweb.com/cv/assets/images/pp3.jpg	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/images/pp3.jpg	(from http://demo.deviserweb.com/cv/blog-full-post.html)
18:08:39	31916/31916	---M--	200	added ('OK')	image/jpeg	etag:%2256b74eb5-7cac%22	http://demo.deviserweb.com/cv/assets/images/bb3.jpg	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/images/bb3.jpg	(from http://demo.deviserweb.com/cv/blog.html)
18:08:39	17482/17482	---M--	200	added ('OK')	image/jpeg	etag:%2256b74eb7-444a%22	http://demo.deviserweb.com/cv/assets/images/blog.jpg	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/images/blog.jpg	(from http://demo.deviserweb.com/cv/blog-full-post.html)
18:08:40	40050/40050	---M--	200	added ('OK')	image/jpeg	etag:%2256b74eb1-9c72%22	http://demo.deviserweb.com/cv/assets/images/1.jpg	E:/Web/CV%20VANh/demo.deviserweb.com/cv/assets/images/1.jpg	(from http://demo.deviserweb.com/cv/portfolio-full.html)
